Own BIC,Correspondent,R. Status,R. Restr.,S. Status,S. Restr.,Correspondent Name
MHCBINBB,BNPAAU2S," "," ",Revoked," ",BNP PARIBAS AUSTRALIA
MHCBINBB,BNPABHBC,Rejected," ",Revoked," ",BNP PARIBAS BAHRAIN CONVENTIONAL RETAIL BANK
MHCBINBB,BNPAFRPP,Enabled," ",Enabled," ",BNP-PARIBAS SA (FORMERLY BANQUE NATIONALE DE PARIS S.A.)
MHCBINBB,BNPANOKK,Rejected," ",Revoked," ",BNP PARIBAS S.A. NORWAY BRANCH
MHCBINBB,BNPASGSG,Enabled," ",Enabled," ",BNP PARIBAS - SINGAPORE BRANCH
MHCBINBB,BOFASG2X,Enabled," ",Enabled," ","BANK OF AMERICA, N.A. SINGAPORE"
MHCBINBB,BOFAUS3D," "," ",Revoked," ",
MHCBINBB,BOFAUS3N,Enabled," ",Enabled/Pending Accept," ","BANK OF AMERICA, N.A."
MHCBINBB,BOFAUS6S," "," ",Enabled/Pending Accept," ","BANK OF AMERICA, N.A."
MHCBINBB,BOFSGB2S,Rejected," ",Revoked," ",BANK OF SCOTLAND PLC
